mode: set
ocelot/pkg/ocelot/workerpool.go:25.38,31.42 3 0
ocelot/pkg/ocelot/workerpool.go:35.2,43.12 2 0
ocelot/pkg/ocelot/workerpool.go:31.42,33.3 1 0
ocelot/pkg/ocelot/workerpool.go:43.12,45.3 1 0
ocelot/pkg/ocelot/workerpool.go:49.82,63.6 3 0
ocelot/pkg/ocelot/workerpool.go:63.6,69.10 2 0
ocelot/pkg/ocelot/workerpool.go:72.25,73.39 1 0
ocelot/pkg/ocelot/workerpool.go:84.4,84.21 1 0
ocelot/pkg/ocelot/workerpool.go:99.4,105.35 2 0
ocelot/pkg/ocelot/workerpool.go:108.21,117.10 3 0
ocelot/pkg/ocelot/workerpool.go:120.14,128.12 2 0
ocelot/pkg/ocelot/workerpool.go:130.11,130.11 0 0
ocelot/pkg/ocelot/workerpool.go:73.39,82.5 3 0
ocelot/pkg/ocelot/workerpool.go:84.21,96.5 3 0
ocelot/pkg/ocelot/workerpool.go:137.31,156.2 4 0
ocelot/pkg/ocelot/workerpool.go:159.49,163.28 2 0
ocelot/pkg/ocelot/workerpool.go:163.28,168.17 2 0
ocelot/pkg/ocelot/workerpool.go:180.3,186.25 1 0
ocelot/pkg/ocelot/workerpool.go:168.17,176.9 2 0
ocelot/pkg/ocelot/job.go:45.51,51.2 1 0
ocelot/pkg/ocelot/job.go:55.30,57.44 1 0
ocelot/pkg/ocelot/job.go:57.44,59.3 1 0
ocelot/pkg/ocelot/job.go:59.8,72.3 2 0
ocelot/pkg/ocelot/job.go:77.50,86.15 3 0
ocelot/pkg/ocelot/job.go:94.2,94.6 1 0
ocelot/pkg/ocelot/job.go:86.15,90.3 1 0
ocelot/pkg/ocelot/job.go:94.6,95.10 1 0
ocelot/pkg/ocelot/job.go:96.21,97.23 1 0
ocelot/pkg/ocelot/job.go:102.21,103.10 1 0
ocelot/pkg/ocelot/job.go:105.11,105.11 0 0
ocelot/pkg/ocelot/job.go:97.23,99.5 1 0
ocelot/pkg/ocelot/job.go:99.10,101.5 1 0
ocelot/pkg/ocelot/jobpool.go:21.30,36.2 3 0
ocelot/pkg/ocelot/jobpool.go:40.58,44.2 2 0
ocelot/pkg/ocelot/jobpool.go:50.33,54.28 2 0
ocelot/pkg/ocelot/jobpool.go:89.2,89.12 1 0
ocelot/pkg/ocelot/jobpool.go:54.28,64.19 1 0
ocelot/pkg/ocelot/jobpool.go:64.19,73.34 2 0
ocelot/pkg/ocelot/jobpool.go:81.4,84.18 2 0
ocelot/pkg/ocelot/jobpool.go:73.34,79.5 2 0
ocelot/pkg/ocelot/jobpool.go:89.12,92.3 2 0
ocelot/pkg/ocelot/producer.go:26.70,29.15 1 0
ocelot/pkg/ocelot/producer.go:36.2,38.6 2 0
ocelot/pkg/ocelot/producer.go:29.15,33.3 3 0
ocelot/pkg/ocelot/producer.go:38.6,40.10 1 0
ocelot/pkg/ocelot/producer.go:42.33,46.18 2 0
ocelot/pkg/ocelot/producer.go:64.4,70.29 1 0
ocelot/pkg/ocelot/producer.go:74.21,78.10 2 0
ocelot/pkg/ocelot/producer.go:80.11,80.11 0 0
ocelot/pkg/ocelot/producer.go:46.18,62.5 3 0
ocelot/pkg/ocelot/producer.go:87.53,90.15 1 0
ocelot/pkg/ocelot/producer.go:97.2,97.35 1 0
ocelot/pkg/ocelot/producer.go:102.2,107.6 3 0
ocelot/pkg/ocelot/producer.go:90.15,92.3 1 0
ocelot/pkg/ocelot/producer.go:97.35,99.3 1 0
ocelot/pkg/ocelot/producer.go:107.6,112.17 3 0
ocelot/pkg/ocelot/producer.go:118.3,118.27 1 0
ocelot/pkg/ocelot/producer.go:137.3,137.10 1 0
ocelot/pkg/ocelot/producer.go:112.17,115.4 2 0
ocelot/pkg/ocelot/producer.go:118.27,127.4 2 0
ocelot/pkg/ocelot/producer.go:127.9,133.4 3 0
ocelot/pkg/ocelot/producer.go:138.18,142.33 2 0
ocelot/pkg/ocelot/producer.go:144.21,145.19 1 0
ocelot/pkg/ocelot/producer.go:146.11,146.11 0 0
ocelot/pkg/ocelot/producer.go:159.50,162.2 2 0
ocelot/pkg/ocelot/producerparams.go:25.55,29.16 2 1
ocelot/pkg/ocelot/producerparams.go:35.2,39.10 2 1
ocelot/pkg/ocelot/producerparams.go:29.16,33.3 1 0
ocelot/pkg/ocelot/producerparams.go:43.77,58.2 1 0
ocelot/pkg/ocelot/workerparams.go:36.61,50.16 2 0
ocelot/pkg/ocelot/workerparams.go:55.2,59.8 1 0
ocelot/pkg/ocelot/workerparams.go:50.16,52.3 1 0
